,rank,time_range,track_id,track_name,track_popularity,track_release_date,artist_genre,artist_name,key_note,ft_danceability,ft_energy,ft_key,ft_loudness,ft_mode,ft_speechiness,ft_acousticness,ft_instrumentalness,ft_liveness,ft_valence,ft_tempo,number_of_repeats
133,43,short_term,6vO4D4UBaUDrK3gBFUOUCU,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: III. Finale: Presto scherzando",11,1993-11-16,classical,Felix Mendelssohn,D,0.38799999999999996,0.18100000000000002,2,-20.336,1,0.0401,0.986,0.893,0.172,0.24600000000000002,81.668,2
134,43,short_term,6vO4D4UBaUDrK3gBFUOUCU,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: III. Finale: Presto scherzando",11,1993-11-16,early romantic era,Felix Mendelssohn,D,0.38799999999999996,0.18100000000000002,2,-20.336,1,0.0401,0.986,0.893,0.172,0.24600000000000002,81.668,2
135,44,short_term,08d7Ulc4Lra4rOa9oQtFML,Mikansei koukyoukyoku,46,2010-06-09,j-pop,ONE OK ROCK,F,0.42700000000000005,0.99,5,-3.55,1,0.184,0.000782,0.0,0.0956,0.491,195.051,3
136,44,short_term,08d7Ulc4Lra4rOa9oQtFML,Mikansei koukyoukyoku,46,2010-06-09,j-rock,ONE OK ROCK,F,0.42700000000000005,0.99,5,-3.55,1,0.184,0.000782,0.0,0.0956,0.491,195.051,3
137,44,short_term,08d7Ulc4Lra4rOa9oQtFML,Mikansei koukyoukyoku,46,2010-06-09,visual kei,ONE OK ROCK,F,0.42700000000000005,0.99,5,-3.55,1,0.184,0.000782,0.0,0.0956,0.491,195.051,3
138,45,short_term,0N3W5peJUQtI4eyR6GJT5O,King Kunta,75,2015-03-16,conscious hip hop,Kendrick Lamar,F#,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,4
139,45,short_term,0N3W5peJUQtI4eyR6GJT5O,King Kunta,75,2015-03-16,hip hop,Kendrick Lamar,F#,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,4
140,45,short_term,0N3W5peJUQtI4eyR6GJT5O,King Kunta,75,2015-03-16,rap,Kendrick Lamar,F#,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,4
141,45,short_term,0N3W5peJUQtI4eyR6GJT5O,King Kunta,75,2015-03-16,west coast rap,Kendrick Lamar,F#,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,4
142,46,short_term,0VV4lfEdeV4PEAjuQH72N8,Cheat Codes,52,2014-04-21,catstep,Nitro Fun,E,0.626,0.96,4,-4.234,0,0.0837,0.00028700000000000004,0.000304,0.894,0.146,128.001,5
